player_total,is_soft_hand,player_card_count,dealer_upcard_value,can_double_down,remaining_cards,count_ace,count_2,count_3,count_4,count_5,count_6,count_7,count_8,count_9,count_10,recommended_action
19,0,2,10,1,48,4,4,4,4,4,3,4,4,3,14,stand
12,0,2,8,1,48,4,4,4,3,4,4,4,2,4,15,hit
19,0,2,4,1,48,4,4,4,3,3,4,4,4,3,15,stand
14,0,3,6,0,47,4,3,4,3,4,3,4,3,3,16,stand
13,0,2,10,1,48,3,4,4,3,4,4,4,4,2,16,hit
16,0,2,10,1,48,4,4,4,4,4,4,3,3,3,15,hit
20,1,2,7,1,48,3,4,4,4,4,3,3,4,3,16,doubleDown
19,0,2,8,1,48,4,4,4,4,4,4,4,3,3,14,stand
19,0,2,8,1,48,4,4,4,4,4,4,4,3,3,14,stand
20,0,2,7,1,48,4,4,4,4,4,4,3,3,4,14,stand
11,0,2,2,1,48,4,2,4,3,4,4,4,4,3,16,doubleDown
14,0,2,3,1,48,3,4,3,3,4,4,4,4,4,15,stand
18,0,2,6,1,48,4,3,4,4,4,3,4,3,4,15,stand
6,0,2,9,1,48,4,3,4,3,4,4,4,4,3,15,hit
